time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss
360,219136,107,607,0.001,-0.05423861742019653,0.027233768,-0.00021135807037353516,0.2,0.20634765625,-0.029088567750295623,1060,0.008504756835463922,-2.8514701992273332
360,221184,108,613,0.001,-0.06094197928905487,0.025395015,-1.9311904907226562e-05,0.2,0.17744140625,-0.044523825077340005,1070,0.04863561582751572,-2.8596127331256866
360,223232,109,618,0.001,-0.14016060531139374,0.05495327,-0.00022804737091064453,0.2,0.325927734375,-0.024946983181871475,1080,0.0056899527069788295,-2.8552530646324157
360,225280,110,624,0.001,-0.06454634666442871,0.02348925,-0.00016677379608154297,0.2,0.157568359375,-0.02819052173290402,1090,0.00851134043041384,-2.8568906486034393
360,227328,111,630,0.001,-0.06224922090768814,0.035288557,-1.0848045349121094e-05,0.2,0.200732421875,-0.05453730451408774,1100,0.07276157680898905,-2.855723711848259
360,229376,112,635,0.001,-0.06405717879533768,0.038245372,-2.110004425048828e-05,0.2,0.19326171875,-0.05712535560596734,1110,0.07036751282867044,-2.8517988562583922
360,231424,113,641,0.001,-0.045460306107997894,0.021185111,-0.0005987882614135742,0.2,0.18505859375,-0.01870676740654744,1120,0.007568209249438951,-2.8544641375541686
360,233472,114,647,0.001,-0.18320082128047943,0.12669256,-3.719163417816162,0.2,0.68486328125,-0.12335636222269386,1130,3.11331377957913e-06,-2.807980528473854
360,235520,115,652,0.001,-0.18772341310977936,0.16473798,-4.148868560791016,0.2,0.760107421875,-0.13169162204721943,1140,2.404470424721694e-06,-2.765843987464905
360,237568,116,658,0.001,-0.16360194981098175,0.1867992,-3.3893933296203613,0.2,0.76572265625,-0.12585220409091563,1150,1.6761898649519935e-06,-2.745856538414955
360,239616,117,664,0.001,-0.18518801033496857,0.20969869,-3.048525333404541,0.2,0.781298828125,-0.13289895742200314,1160,6.378091260472729e-07,-2.744434669613838
