rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
806.2,2196,25.0,238,524288,16,0.2,150,-0.8351951819146052,0.0003,0.10292621,0.3933013916015625,0.011000961065292358,0.9224583804607391,-0.043032665870759955,0.1410571713000536
950.1,2331,30.5,238,557056,17,0.2,160,-0.8045820504776202,0.0003,0.106781766,0.3962005615234375,0.09311693906784058,0.9142055734992027,-0.05824317693677585,0.17398048137547448
1040.8,2465,38.2,239,589824,18,0.2,170,-0.7801202701288276,0.0003,0.11496624,0.3929412841796875,-0.07401826232671738,0.9305975511670113,-0.058219204691704364,0.12850507834536984
977.3,2602,36.8,239,622592,19,0.2,180,-0.7613338698283769,0.0003,0.116803974,0.3980255126953125,0.049881018698215485,0.9434408061206341,-0.05290549913897848,0.11261148848207085
837.1,2739,25.7,239,655360,20,0.2,190,-0.7429210902773775,0.0003,0.11256337,0.38951416015625,-0.022489070892333984,0.9449527114629745,-0.05378227974215406,0.12214729574006924
902.4,2874,34.2,239,688128,21,0.2,200,-0.7430474630789832,0.0003,0.11902505,0.4066314697265625,0.02127445489168167,0.8597807884216309,-0.048731920851514586,0.347978385190072
737.4,3012,19.6,239,720896,22,0.2,210,-0.7516833936912007,0.0003,0.12766527,0.4512054443359375,0.12035045027732849,0.8016688972711563,-0.04943983900202511,0.36931755880941636
677.1,3149,18.3,239,753664,23,0.2,220,-0.7454188905656338,0.0003,0.13823336,0.4597137451171875,0.09752227365970612,0.6455117464065552,-0.052850986554585686,0.45131042084976797
799.3,3285,26.3,239,786432,24,0.2,230,-0.7169972271367442,0.0003,0.13634193,0.42352294921875,0.1653546690940857,0.7066193521022797,-0.04867209856474801,0.5068839994026348
724.7,3425,24.4,239,819200,25,0.2,240,-0.6907153077307158,0.0003,0.1404092,0.413720703125,0.08763550966978073,0.8312353640794754,-0.048870191135665667,0.3157654131893651
914.0,3559,32.9,239,851968,26,0.2,250,-0.6999392664758488,0.0003,0.11221866,0.399139404296875,0.12677644193172455,0.8676933348178864,-0.046872130772862876,0.36891086785690275
930.3,3694,34.6,239,884736,27,0.2,260,-0.633615495270351,0.0003,0.11879964,0.3783966064453125,-0.014105461537837982,0.8992565125226974,-0.04909193984740341,0.31993856583721936
990.0,3828,38.4,239,917504,28,0.2,270,-0.6070984920894261,0.0003,0.10913695,0.3529693603515625,-0.024953003972768784,0.9235455840826035,-0.04365097193149268,0.2662610793435306
1009.7,3964,31.7,239,950272,29,0.2,280,-0.6279956988350023,0.0003,0.1142452,0.3834228515625,0.15246117115020752,0.9090941250324249,-0.04866342273289774,0.3780252666416345
923.1,4098,28.1,239,983040,30,0.2,290,-0.666408233391121,0.0003,0.13873008,0.4367462158203125,0.018922030925750732,0.9010865166783333,-0.05990376401359754,0.275766951427795
819.7,4234,28.4,239,1015808,31,0.2,300,-0.6810581762983929,0.0003,0.15646945,0.4496337890625,-0.0030218884348869324,0.9216871932148933,-0.062319451883013244,0.18859763377731725
