time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates
2806,22,256,10.7,2739.5,720896,-1.075034672638867,0.6940933465957642,0.46402587890625,0.0003,0.11565544224922633,-0.05349047677809722,0.105501994,0.2,-0.04206083342432976,210
2930,23,257,10.9,2843.4,753664,-1.0177480495069176,0.7598464041948318,0.45843505859375,0.0003,0.07595176134291251,-0.04634226383095665,0.113674596,0.2,-0.04797732084989548,220
3054,24,257,10.4,2826.0,786432,-0.9880261552985757,0.6818327605724335,0.4567291259765625,0.0003,0.12142406009988918,-0.048411971908171834,0.12376533,0.2,-0.055673930794000626,230
3180,25,257,8.8,2842.6,819200,-0.9426959758275189,0.7289329171180725,0.4609954833984375,0.0003,0.14911921012899257,-0.053191609025043364,0.123329654,0.2,-0.05428346246480942,240
3309,26,257,9.6,2781.1,851968,-0.8890313390875235,0.8059931844472885,0.4470794677734375,0.0003,0.10791296230363515,-0.04886073898851464,0.13250527,0.2,0.029047921299934387,250
3444,27,256,11.8,2760.5,884736,-0.8489184907753952,0.7686934769153595,0.4432281494140625,0.0003,0.09527059615975304,-0.04701259520961685,0.13522294,0.2,-0.02737492322921753,260
3569,28,257,5.2,3049.5,917504,-0.8050443863030523,0.7708457261323929,0.4331329345703125,0.0003,0.12052803723745456,-0.04677665721701487,0.14732334,0.2,-0.03980725258588791,270
3706,29,256,10.1,2892.5,950272,-0.7474527613259851,0.7967255711555481,0.42459716796875,0.0003,0.11973555727781786,-0.04848600061459365,0.15020081,0.2,-0.0452139638364315,280
3845,30,255,9.0,2833.4,983040,-0.6939180161862168,0.7709972858428955,0.4091705322265625,0.0003,0.12126012246444588,-0.046835494684273726,0.1649289,0.2,-0.057558778673410416,290
3982,31,255,4.0,3015.0,1015808,-0.6595219545532018,0.82696433365345,0.39720458984375,0.0003,0.09108376197018515,-0.04847414847376967,0.16691901,0.2,0.030237587168812752,300
