rollout/ep_rew_mean,time/iterations,time/fps,train/policy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
-20.6,3200,375,0.07702063769102097,0.1105513945221901,0.970735440030694,0.0007,-1.1622380018234253,3199,681,256000,920.7
-20.6,3300,375,0.04293031617999077,0.08483334630727768,0.9561798423528671,0.0007,-1.1105555295944214,3299,703,264000,968.1
-20.6,3400,375,0.05830070376396179,0.0763998031616211,0.9848896479234099,0.0007,-1.0356632471084595,3399,724,272000,975.2
-20.7,3500,375,-0.10820090770721436,0.08111625909805298,0.9803984891623259,0.0007,-1.1220849752426147,3499,744,280000,907.1
-20.7,3600,376,-0.08797729760408401,0.08648119866847992,0.9557203650474548,0.0007,-1.2169421911239624,3599,765,288000,883.8
-20.4,3700,375,-0.0306327436119318,0.05991165712475777,0.9870423274114728,0.0007,-1.3414192199707031,3699,787,296000,980.1
-20.8,3800,375,0.161385640501976,0.21763257682323456,0.9359200447797775,0.0007,-1.3289202451705933,3799,808,304000,920.4
-20.9,3900,375,0.08430135250091553,0.06471153348684311,0.9882554057985544,0.0007,-1.1397217512130737,3899,830,312000,876.9
-20.8,4000,376,-0.010657536797225475,0.13162851333618164,0.9462868794798851,0.0007,-1.195106863975525,3999,851,320000,887.6
-20.6,4100,376,0.04461973160505295,0.034438591450452805,0.9924814742989838,0.0007,-1.2923191785812378,4099,872,328000,907.5
-20.4,4200,376,0.051541268825531006,0.10352704674005508,0.974106153473258,0.0007,-1.4405940771102905,4199,893,336000,965.9
-20.5,4300,375,0.0011239051818847656,0.0511300228536129,0.9882658142596483,0.0007,-1.2679110765457153,4299,915,344000,927.3
-20.9,4400,375,-0.05670813471078873,0.06900344043970108,0.9736986346542835,0.0007,-1.2124595642089844,4399,936,352000,943.4
-21.0,4500,375,-0.000245414674282074,0.05853423476219177,0.9874134147539735,0.0007,-1.3130104541778564,4499,957,360000,921.4
-21.0,4600,375,0.12423721700906754,0.09931829571723938,0.9570925757288933,0.0007,-1.0505181550979614,4599,979,368000,903.7
-21.0,4700,375,0.001762604690156877,0.1313280463218689,0.970514714717865,0.0007,-1.3287009000778198,4699,1000,376000,875.7
-20.5,4800,376,-0.04274367541074753,0.06351044028997421,0.9779922142624855,0.0007,-1.303218126296997,4799,1021,384000,976.6
-20.7,4900,376,-0.0304125789552927,0.058638203889131546,0.991776148788631,0.0007,-1.3081775903701782,4899,1042,392000,898.9
-20.8,5000,376,-0.0790940448641777,0.2764829099178314,0.9327448010444641,0.0007,-1.2827506065368652,4999,1063,400000,942.6
-20.7,5100,375,0.012323739938437939,0.03710898384451866,0.9890957623720169,0.0007,-1.1002285480499268,5099,1085,408000,961.4
-20.8,5200,375,-0.005830037873238325,0.03006787598133087,0.9904659409075975,0.0007,-1.0068076848983765,5199,1106,416000,968.7
-20.7,5300,376,0.0783926323056221,0.17927873134613037,0.9487850181758404,0.0007,-0.9728168845176697,5299,1127,424000,956.9
-20.4,5400,376,0.09856735914945602,0.06695028394460678,0.9843144807964563,0.0007,-1.104867935180664,5399,1147,432000,1026.4
-20.5,5500,376,-0.1296718567609787,0.08678877353668213,0.9795386586338282,0.0007,-1.1933314800262451,5499,1168,440000,971.4
-20.7,5600,376,0.03819933906197548,0.06654677540063858,0.9875366110354662,0.0007,-1.0773429870605469,5599,1190,448000,966.7
-20.8,5700,376,-0.035078585147857666,0.05085058882832527,0.9882721034809947,0.0007,-1.2577804327011108,5699,1211,456000,978.8
-20.6,5800,376,-0.07466164976358414,0.07735339552164078,0.9857943058013916,0.0007,-1.1341558694839478,5799,1233,464000,972.5
-20.9,5900,376,0.008375531993806362,0.02140021324157715,0.9946184400469065,0.0007,-1.3359501361846924,5899,1254,472000,897.4
-21.0,6000,376,-0.20410266518592834,0.10471570491790771,0.9823022559285164,0.0007,-1.3169344663619995,5999,1274,480000,907.0
-20.8,6100,376,0.014835508540272713,0.07018879801034927,0.9857411989942193,0.0007,-1.1669670343399048,6099,1295,488000,923.6
-20.9,6200,376,-0.221827894449234,0.10898426920175552,0.9755495917052031,0.0007,-1.369908094406128,6199,1316,496000,938.1
-20.6,6300,376,0.1307218372821808,0.18491773307323456,0.9729553610086441,0.0007,-1.1490504741668701,6299,1337,504000,930.7
-20.4,6400,376,-0.06391002982854843,0.06769504398107529,0.9860521927475929,0.0007,-1.2293221950531006,6399,1359,512000,962.2
-20.3,6500,376,0.08966919034719467,0.09136253595352173,0.9879455715417862,0.0007,-1.2432087659835815,6499,1380,520000,999.3
-20.6,6600,376,-0.004119881894439459,0.03321651741862297,0.9934250945225358,0.0007,-1.230799674987793,6599,1401,528000,964.8
-21.0,6700,376,0.05478474125266075,0.05758270248770714,0.9817507825791836,0.0007,-1.1611837148666382,6699,1422,536000,954.6
-20.9,6800,376,-0.01242359820753336,0.053683191537857056,0.992917079012841,0.0007,-1.0981045961380005,6799,1443,544000,893.9
-20.7,6900,376,0.0031116597820073366,0.04735797271132469,0.9910126719623804,0.0007,-1.215335726737976,6899,1465,552000,923.2
-20.8,7000,376,-0.04223814606666565,0.07516086101531982,0.9533678479492664,0.0007,-1.2058621644973755,6999,1486,560000,933.6
-21.0,7100,376,-0.020168665796518326,0.014204625971615314,0.995365989394486,0.0007,-1.0431591272354126,7099,1507,568000,919.5
-20.9,7200,376,-0.007786959409713745,0.10321535170078278,0.9438973031938076,0.0007,-1.0457736253738403,7199,1528,576000,962.6
-20.4,7300,376,0.014394069090485573,0.04519239813089371,0.989855338819325,0.0007,-1.1538946628570557,7299,1549,584000,997.8
-20.8,7400,377,-0.19205155968666077,0.0898757204413414,0.9791770670562983,0.0007,-1.155600905418396,7399,1569,592000,1010.0
-20.5,7500,377,0.02461543120443821,0.034253980964422226,0.9933531796559691,0.0007,-1.0106267929077148,7499,1590,600000,1004.3
-20.8,7600,377,0.010496198199689388,0.05856551602482796,0.9884020444005728,0.0007,-1.06358802318573,7599,1612,608000,1010.5
-20.6,7700,377,0.06356091052293777,0.05312464386224747,0.9827257078140974,0.0007,-1.102242112159729,7699,1633,616000,1084.5
-20.6,7800,377,0.09260581433773041,0.15857447683811188,0.883090578019619,0.0007,-1.1880543231964111,7799,1654,624000,948.0
-20.4,7900,377,-0.03903697058558464,0.05486974120140076,0.9492220543324947,0.0007,-1.1658321619033813,7899,1675,632000,1038.4
-20.8,8000,377,0.022807253524661064,0.02477157488465309,0.9937465363182127,0.0007,-1.169347882270813,7999,1696,640000,926.6
-20.6,8100,377,0.08253897726535797,0.07667230814695358,0.985704630613327,0.0007,-1.2375248670578003,8099,1717,648000,951.5
-20.8,8200,377,0.0050414204597473145,0.055966198444366455,0.9817898329347372,0.0007,-1.013252854347229,8199,1738,656000,1005.2
-20.6,8300,377,0.025070203468203545,0.07671433687210083,0.9683283194899559,0.0007,-1.1291271448135376,8299,1759,664000,1036.1
-20.8,8400,377,0.013161152601242065,0.10204756259918213,0.972927626222372,0.0007,-1.0935367345809937,8399,1780,672000,1045.7
-20.8,8500,377,-0.009601637721061707,0.022191178053617477,0.9946358846500516,0.0007,-1.070202112197876,8499,1801,680000,1059.8
-20.6,8600,377,0.03537122532725334,0.06541138142347336,0.9909794302657247,0.0007,-1.1414073705673218,8599,1823,688000,1092.7
-20.1,8700,377,-0.020759843289852142,0.07220602035522461,0.9758859146386385,0.0007,-1.077039122581482,8699,1843,696000,1105.1
-20.4,8800,377,0.07523747533559799,0.1142539530992508,0.9584942497313023,0.0007,-0.9441178441047668,8799,1864,704000,1168.0
-20.5,8900,377,-0.02898924984037876,0.07561477273702621,0.9427084214985371,0.0007,-0.8442410826683044,8899,1885,712000,1138.7
-20.6,9000,377,-0.14876805245876312,0.058636944741010666,0.9883862724527717,0.0007,-0.935672402381897,8999,1906,720000,1200.7
-20.7,9100,377,0.08390440791845322,0.08214743435382843,0.971685953438282,0.0007,-0.9391509294509888,9099,1927,728000,1233.8
-20.8,9200,377,0.01618257723748684,0.06956546753644943,0.957474835216999,0.0007,-0.8427135348320007,9199,1947,736000,1366.3
-20.8,9300,377,0.11022384464740753,0.14054355025291443,0.9404378272593021,0.0007,-0.7766029834747314,9299,1968,744000,1432.6
-20.8,9400,377,-0.030798792839050293,0.051171865314245224,0.9698361046612263,0.0007,-0.7806655168533325,9399,1989,752000,1491.6
-20.4,9500,377,0.031195253133773804,0.0509832389652729,0.7971615195274353,0.0007,-0.69954913854599,9499,2010,760000,1788.9
-20.7,9600,377,0.015751004219055176,0.0730256587266922,0.9415668100118637,0.0007,-0.7178778648376465,9599,2031,768000,1729.1
-20.3,9700,378,0.006795330438762903,0.03432648256421089,0.9784411955624819,0.0007,-0.6202624440193176,9699,2052,776000,1773.3
-21.0,9800,378,0.00821705162525177,0.06296216696500778,0.9420366138219833,0.0007,-0.4376808702945709,9799,2073,784000,2050.7
-20.6,9900,378,-0.023716190829873085,0.10952442139387131,0.6487206518650055,0.0007,-0.697434663772583,9899,2095,792000,2054.2
-20.6,10000,378,0.05814724043011665,0.06013254076242447,0.9247389510273933,0.0007,-0.4747607409954071,9999,2116,800000,1987.5
-20.0,10100,378,-0.05789750814437866,0.1368626058101654,0.7993828505277634,0.0007,-0.6093050837516785,10099,2137,808000,1847.7
-20.2,10200,378,0.05094795301556587,0.19815799593925476,0.8936666250228882,0.0007,-0.414408415555954,10199,2158,816000,2276.6
-20.2,10300,378,0.03868349269032478,0.06313695013523102,0.9176970645785332,0.0007,-0.4540584683418274,10299,2179,824000,2221.3
-20.8,10400,378,-0.027411310002207756,0.09063955396413803,0.8604467213153839,0.0007,-0.6694433093070984,10399,2200,832000,2347.4
-20.3,10500,378,-0.05653202533721924,0.05937930941581726,0.8270473033189774,0.0007,-0.5527070164680481,10499,2220,840000,2278.5
-20.4,10600,378,0.05235930159687996,0.0701044350862503,0.6620703041553497,0.0007,-0.41307541728019714,10599,2241,848000,2429.8
-20.6,10700,378,0.019078852608799934,0.03563288599252701,0.922746866941452,0.0007,-0.535260021686554,10699,2262,856000,2515.3
-20.4,10800,378,-0.025115156546235085,0.03588319942355156,0.8326438367366791,0.0007,-0.7039757370948792,10799,2283,864000,2504.5
-20.4,10900,378,0.005209754686802626,0.06724122911691666,0.6817971169948578,0.0007,-0.5192276239395142,10899,2305,872000,2607.8
-20.1,11000,378,0.013054273091256618,0.04480084404349327,0.7902002036571503,0.0007,-0.44173678755760193,10999,2326,880000,2678.7
-20.5,11100,378,-0.016326433047652245,0.07344422489404678,0.8941295966506004,0.0007,-0.6769763827323914,11099,2346,888000,2533.7
-20.0,11200,378,0.041126903146505356,0.038081925362348557,0.7875766158103943,0.0007,-0.4073317050933838,11199,2367,896000,2385.4
-20.7,11300,378,0.1322382390499115,0.10540037602186203,0.7243289351463318,0.0007,-0.5156800150871277,11299,2387,904000,2681.8
-20.1,11400,378,-0.011434427462518215,0.07706296443939209,0.8037486672401428,0.0007,-0.6628050208091736,11399,2408,912000,2534.7
-19.9,11500,378,0.01785699464380741,0.021638549864292145,0.9211235642433167,0.0007,-0.489793986082077,11499,2428,920000,2622.6
-20.8,11600,378,0.014107855968177319,0.038468457758426666,0.8283342272043228,0.0007,-0.3129105567932129,11599,2449,928000,3053.5
-20.6,11700,378,0.014089024625718594,0.07345418632030487,0.8971893787384033,0.0007,-0.4073202610015869,11699,2469,936000,2597.5
-20.8,11800,379,-0.015512538142502308,0.0386325903236866,0.7775482088327408,0.0007,-0.5385499000549316,11799,2490,944000,2658.1
-20.5,11900,379,0.03713564947247505,0.06885261833667755,0.8480108976364136,0.0007,-0.4122523367404938,11899,2511,952000,2922.4
-20.5,12000,379,0.022332781925797462,0.05326366424560547,0.714896023273468,0.0007,-0.40866509079933167,11999,2531,960000,2534.9
-20.2,12100,379,-0.09404952824115753,0.12068120390176773,0.7969076782464981,0.0007,-0.5171765685081482,12099,2552,968000,2870.8
-20.3,12200,379,0.011913284659385681,0.054375555366277695,0.8176358640193939,0.0007,-0.41316232085227966,12199,2573,976000,2784.2
-20.5,12300,379,0.0007998576620593667,0.0545835979282856,0.5758959949016571,0.0007,-0.3478665351867676,12299,2594,984000,2816.0
-20.4,12400,379,0.017789402976632118,0.05402017757296562,0.7341721057891846,0.0007,-0.37803569436073303,12399,2614,992000,2924.7
-20.8,12500,379,-0.02164686657488346,0.03174556791782379,0.887522391974926,0.0007,-0.5454023480415344,12499,2635,1000000,2804.7
