rollout/ep_len_mean,train/n_updates,train/policy_loss,time/iterations,train/value_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,time/fps,time/total_timesteps,train/learning_rate
1016.9,7699,-0.08976701647043228,7700,0.08632255345582962,1618,-0.9959632754325867,-20.4,0.9811450242996216,380,616000,0.0007
1088.4,7799,-0.006993985269218683,7800,0.08451970666646957,1639,-0.9497901797294617,-20.3,0.9873752295970917,380,624000,0.0007
1104.4,7899,0.11791648715734482,7900,0.10223095864057541,1659,-0.9086395502090454,-19.9,0.9822932314127684,380,632000,0.0007
1147.7,7999,0.10192576795816422,8000,0.15738019347190857,1680,-0.9586305618286133,-20.7,0.9522255845367908,380,640000,0.0007
1212.2,8099,-0.08336079120635986,8100,0.08966462314128876,1701,-0.9592199325561523,-20.7,0.9527854099869728,380,648000,0.0007
1303.6,8199,-0.03886125236749649,8200,0.08289585262537003,1722,-0.9131857752799988,-20.7,0.9399442821741104,380,656000,0.0007
1217.4,8299,-0.05620687082409859,8300,0.06935953348875046,1743,-0.9569925665855408,-20.6,0.9641560167074203,380,664000,0.0007
1391.7,8399,-0.08046199381351471,8400,0.10551165789365768,1764,-1.0067194700241089,-20.7,0.9142399951815605,380,672000,0.0007
1354.2,8499,0.1026688814163208,8500,0.07454875856637955,1784,-0.9046434760093689,-20.4,0.9632596746087074,381,680000,0.0007
1336.7,8599,-0.011663812212646008,8600,0.05378970131278038,1804,-0.8602527976036072,-20.6,0.9593761377036572,381,688000,0.0007
1544.6,8699,-0.052730780094861984,8700,0.07491914182901382,1825,-0.5301262140274048,-20.8,0.917807549238205,381,696000,0.0007
1517.2,8799,0.02168097160756588,8800,0.057566918432712555,1846,-0.5332863330841064,-20.6,0.9719989355653524,381,704000,0.0007
1707.8,8899,-0.059240590780973434,8900,0.09015079587697983,1867,-0.8372354507446289,-20.7,0.9420678205788136,381,712000,0.0007
1879.1,8999,-0.053052838891744614,9000,0.10457636415958405,1887,-0.572820782661438,-20.4,0.8395841270685196,381,720000,0.0007
1746.9,9099,-0.014276990666985512,9100,0.06362594664096832,1908,-0.5767037272453308,-20.5,0.9187034443020821,381,728000,0.0007
2028.3,9199,0.083465576171875,9200,0.10358810424804688,1930,-0.5314475893974304,-20.6,0.8749331384897232,381,736000,0.0007
1966.5,9299,-0.07946951687335968,9300,0.06827940046787262,1951,-0.6268869638442993,-20.8,0.9275767356157303,381,744000,0.0007
1995.8,9399,0.038124825805425644,9400,0.059788186103105545,1972,-0.4385080337524414,-20.7,0.9713432807475328,381,752000,0.0007
1790.5,9499,-0.002876916667446494,9500,0.07593617588281631,1993,-0.5282135009765625,-20.5,0.9524326808750629,381,760000,0.0007
2048.5,9599,0.016814280301332474,9600,0.04979459196329117,2014,-0.5590125918388367,-20.8,0.9221775159239769,381,768000,0.0007
2001.0,9699,0.0048402706161141396,9700,0.037046901881694794,2033,-0.5738339424133301,-20.3,0.9205215349793434,381,776000,0.0007
2284.3,9799,-0.04443369060754776,9800,0.1553480178117752,2053,-0.5722057223320007,-20.7,0.8402151167392731,381,784000,0.0007
2256.5,9899,0.0321073941886425,9900,0.01942981593310833,2075,-0.47358939051628113,-20.5,0.9818711504340172,381,792000,0.0007
2331.1,9999,0.0026715786661952734,10000,0.10319619625806808,2096,-0.22328142821788788,-20.6,0.8633482307195663,381,800000,0.0007
2009.4,10099,-0.014392012730240822,10100,0.11825280636548996,2117,-0.33486470580101013,-20.3,0.7865158468484879,381,808000,0.0007
2066.1,10199,-0.1303025186061859,10200,0.14464449882507324,2138,-0.5379092693328857,-20.1,0.8961288556456566,381,816000,0.0007
