time/iterations,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/value_loss,time/total_timesteps,train/entropy_loss,time/time_elapsed,train/explained_variance,rollout/ep_rew_mean,train/policy_loss
6800,1218.6,319,6799,0.0007,0.21278904378414154,544000,-0.04882318899035454,1704,0.960367489606142,48.3,-0.014485868625342846
6900,1194.1,319,6899,0.0007,0.06710977107286453,552000,-0.051196880638599396,1728,0.9802946113049984,47.0,-0.004982891958206892
7000,1273.2,319,6999,0.0007,0.07290129363536835,560000,-0.08382432907819748,1752,0.988585495389998,50.1,0.020194269716739655
7100,1324.6,319,7099,0.0007,0.027580780908465385,568000,-0.07036323100328445,1776,0.9969326355494559,53.6,0.001792399794794619
7200,1250.2,319,7199,0.0007,0.015385307371616364,576000,-0.08981796354055405,1800,0.9968390024732798,47.5,0.001165567897260189
7300,1303.7,320,7299,0.0007,0.0338766947388649,584000,-0.030057985335588455,1824,0.994252729229629,47.6,0.00010750722140073776
7400,1303.7,320,7399,0.0007,0.050627171993255615,592000,-0.03484780341386795,1848,0.9897101474925876,50.0,-0.026959333568811417
7500,1253.3,320,7499,0.0007,0.10300403088331223,600000,-0.022105831652879715,1872,0.9865695228800178,47.5,0.002676914678886533
7600,1358.9,320,7599,0.0007,0.047778334468603134,608000,-0.042830150574445724,1896,0.9903226690366864,50.6,0.00039066310273483396
7700,1301.1,320,7699,0.0007,0.06749178469181061,616000,-0.024486420676112175,1920,0.9848819794133306,49.0,0.0022771102376282215
7800,1300.7,320,7799,0.0007,0.016186503693461418,624000,-0.03164307028055191,1944,0.9966731036547571,49.0,0.0016315765678882599
7900,1445.7,321,7899,0.0007,0.02053152397274971,632000,-0.030955031514167786,1968,0.9969996733125299,56.5,0.00036279275082051754
8000,1291.8,321,7999,0.0007,0.028842926025390625,640000,-0.01593298651278019,1992,0.9946794882416725,50.7,0.0002677433658391237
8100,1193.8,321,8099,0.0007,0.047975488007068634,648000,-0.04244096949696541,2015,0.9886074112728238,46.4,-0.007166852243244648
8200,1226.8,321,8199,0.0007,0.014352700673043728,656000,-0.03584783524274826,2040,0.9980540559627116,49.1,0.011864862404763699
8300,1275.6,321,8299,0.0007,0.054585736244916916,664000,-0.02687641978263855,2063,0.9890801282599568,48.6,0.003851264715194702
8400,1205.9,321,8399,0.0007,0.03125873953104019,672000,-0.03263993188738823,2088,0.9972850736230612,46.4,-0.008213845081627369
8500,1273.2,321,8499,0.0007,0.012102697044610977,680000,-0.04682459682226181,2111,0.9978221564088017,50.5,-0.00014652221580035985
8600,1388.1,322,8599,0.0007,0.036059655249118805,688000,-0.10580582916736603,2135,0.9924183525145054,56.2,-0.007437583990395069
8700,1331.0,322,8699,0.0007,0.07543008774518967,696000,-0.046433161944150925,2159,0.9883464202284813,51.8,0.002159576630219817
8800,1393.2,322,8799,0.0007,0.019155720248818398,704000,-0.045496463775634766,2183,0.9962829984724522,53.9,-0.0007519600330851972
8900,1194.9,322,8899,0.0007,0.035896774381399155,712000,-0.04392142966389656,2207,0.9956913618370891,46.2,-0.002306700451299548
9000,1329.1,322,8999,0.0007,0.08398347347974777,720000,-0.044262081384658813,2231,0.9874355513602495,52.1,-0.005002060439437628
