time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,train/value_loss,time/fps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/n_updates,train/policy_loss,rollout/ep_len_mean,time/iterations
616000,0.9850758770480752,50.2,0.04104722663760185,334,0.0007,-0.013625497929751873,1839,7699,0.0007657615351490676,1255.7,7700
624000,0.9850693037733436,44.4,0.07879644632339478,334,0.0007,-0.015034872107207775,1863,7799,0.007187453098595142,1178.4,7800
632000,0.9962291980627924,47.9,0.023950599133968353,335,0.0007,-0.010188638232648373,1886,7899,0.00011772520520025864,1238.7,7900
640000,0.999895141190791,50.0,0.000318850768962875,335,0.0007,-0.014989363960921764,1909,7999,-0.0007240888080559671,1291.7,8000
648000,0.9981066666077822,47.7,0.010990549810230732,335,0.0007,-0.010936915874481201,1932,8099,-0.004717363975942135,1260.1,8100
656000,0.9987177239963785,45.9,0.008123084902763367,335,0.0007,-0.03393205627799034,1956,8199,-7.842073682695627e-05,1178.9,8200
664000,0.9961163366679102,44.6,0.015200470574200153,335,0.0007,-0.00951563660055399,1979,8299,-0.0003765468718484044,1153.6,8300
672000,0.9915547827258706,50.0,0.02397281490266323,335,0.0007,-0.00909068901091814,2003,8399,-0.00019970026914961636,1276.7,8400
680000,0.9945206581614912,49.9,0.03222784399986267,335,0.0007,-0.04715392738580704,2027,8499,0.010488368570804596,1289.5,8500
688000,0.9954007277265191,43.0,0.026144666597247124,335,0.0007,-0.022303352132439613,2050,8599,0.0037959907203912735,1124.0,8600
696000,0.9963793233036995,41.0,0.029210755601525307,335,0.0007,-0.009828510694205761,2073,8699,0.01770677976310253,1190.0,8700
704000,0.9967613362241536,43.2,0.008277542889118195,335,0.0007,-0.04411257430911064,2097,8799,-0.02536250464618206,1104.5,8800
712000,0.9955793912522495,46.4,0.018225209787487984,335,0.0007,-0.022287992760539055,2120,8899,-0.017718976363539696,1165.2,8900
720000,0.9992085378617048,45.7,0.004168196115642786,335,0.0007,-0.03210882470011711,2144,8999,-0.0006408439367078245,1096.1,9000
728000,0.9976908485405147,41.3,0.012867112644016743,335,0.0007,-0.03373989462852478,2168,9099,0.0016837656730785966,1084.1,9100
736000,0.9993636070284992,48.3,0.006083162035793066,335,0.0007,-0.013700670562684536,2192,9199,0.0003457720740698278,1202.6,9200
